|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 25
year	age	male	hispan
2005	72	1	0	582
2005	73	1	0	494
2005	74	1	0	435
2005	75	1	0	344
2005	76	1	0	273
2005	77	1	0	263
2005	78	1	0	231
2005	79	1	0	183
2005	80	1	0	134
2005	81	1	0	97
2005	82	1	0	91
2005	83	1	0	60
2005	84	1	0	56
2005	85	1	0	161
2005	25	1	1	4459
2005	26	1	1	4121
2005	27	1	1	3852
2005	28	1	1	3528
2005	29	1	1	3358
2005	30	1	1	2726
2005	31	1	1	2376
2005	32	1	1	2351
2005	33	1	1	2059
2005	34	1	1	1898
2005	35	1	1	1429
2005	36	1	1	1204
2005	37	1	1	1305
2005	38	1	1	1080
2005	39	1	1	1025
2005	40	1	1	833
2005	41	1	1	779
2005	42	1	1	876
2005	43	1	1	677
2005	44	1	1	768
2005	45	1	1	618
2005	46	1	1	468
2005	47	1	1	560
2005	48	1	1	507
2005	49	1	1	593
2005	50	1	1	531
2005	51	1	1	408
2005	52	1	1	427
2005	53	1	1	457
2005	54	1	1	366
2005	55	1	1	214
2005	56	1	1	227
2005	57	1	1	331
2005	58	1	1	357
2005	59	1	1	333
2005	60	1	1	286
2005	61	1	1	294
2005	62	1	1	333
2005	63	1	1	309
2005	64	1	1	349
2005	65	1	1	310
2005	66	1	1	246
2005	67	1	1	248
2005	68	1	1	231
2005	69	1	1	232
2005	70	1	1	195
2005	71	1	1	177
2005	72	1	1	178
2005	73	1	1	172
2005	74	1	1	178
2005	75	1	1	138
2005	76	1	1	125
2005	77	1	1	110
2005	78	1	1	97
2005	79	1	1	115
2005	80	1	1	103
2005	81	1	1	87
2005	82	1	1	85
2005	83	1	1	77
2005	84	1	1	102
2005	85	1	1	465
2006	25	0	0	8325
2006	26	0	0	8379
2006	27	0	0	8167
2006	28	0	0	7705
2006	29	0	0	7058
2006	30	0	0	6217
2006	31	0	0	5510
2006	32	0	0	4919
2006	33	0	0	4384
2006	34	0	0	3985
2006	35	0	0	3537
2006	36	0	0	3271
2006	37	0	0	3067
2006	38	0	0	2896
2006	39	0	0	2742
2006	40	0	0	2478
2006	41	0	0	2239
2006	42	0	0	1990
2006	43	0	0	1789
2006	44	0	0	1643
2006	45	0	0	1399
2006	46	0	0	1253
2006	47	0	0	1147
2006	48	0	0	1043
2006	49	0	0	1006
2006	50	0	0	922
2006	51	0	0	938
2006	52	0	0	954
2006	53	0	0	864
2006	54	0	0	798
2006	55	0	0	746
2006	56	0	0	814
2006	57	0	0	917
2006	58	0	0	934
2006	59	0	0	1018
2006	60	0	0	1035
2006	61	0	0	993
2006	62	0	0	963
2006	63	0	0	915
2006	64	0	0	892
2006	65	0	0	879
2006	66	0	0	866
2006	67	0	0	858
2006	68	0	0	841
2006	69	0	0	719
2006	70	0	0	535
2006	71	0	0	588
2006	72	0	0	609
2006	73	0	0	501
2006	74	0	0	455
2006	75	0	0	389
2006	76	0	0	311
2006	77	0	0	224
2006	78	0	0	197
2006	79	0	0	181
2006	80	0	0	105
2006	81	0	0	93
2006	82	0	0	112
2006	83	0	0	68
2006	84	0	0	23
2006	85	0	0	74
2006	25	0	1	3189
2006	26	0	1	2939
2006	27	0	1	2710
2006	28	0	1	2540
2006	29	0	1	2465
2006	30	0	1	2340
2006	31	0	1	2211
2006	32	0	1	2057
2006	33	0	1	1857
2006	34	0	1	1638
2006	35	0	1	1403
2006	36	0	1	1284
2006	37	0	1	1160
2006	38	0	1	982
2006	39	0	1	863
2006	40	0	1	761
2006	41	0	1	695
2006	42	0	1	639
2006	43	0	1	556
2006	44	0	1	626
2006	45	0	1	604
2006	46	0	1	551
2006	47	0	1	594
2006	48	0	1	543
2006	49	0	1	511
2006	50	0	1	424
2006	51	0	1	428
2006	52	0	1	519
2006	53	0	1	460
2006	54	0	1	487
2006	55	0	1	474
2006	56	0	1	497
2006	57	0	1	523
2006	58	0	1	596
2006	59	0	1	579
2006	60	0	1	499
2006	61	0	1	519
2006	62	0	1	437
2006	63	0	1	432
2006	64	0	1	505
2006	65	0	1	485
2006	66	0	1	453
2006	67	0	1	410
2006	68	0	1	338
2006	69	0	1	315
2006	70	0	1	324
2006	71	0	1	318
2006	72	0	1	322
2006	73	0	1	262
2006	74	0	1	244
2006	75	0	1	192
2006	76	0	1	165
2006	77	0	1	180
2006	78	0	1	178
2006	79	0	1	172
2006	80	0	1	133
2006	81	0	1	143
2006	82	0	1	138
2006	83	0	1	120
2006	84	0	1	112
2006	85	0	1	705
2006	25	1	0	7118
2006	26	1	0	7016
2006	27	1	0	6692
2006	28	1	0	6347
2006	29	1	0	6022
2006	30	1	0	5549
2006	31	1	0	5116
2006	32	1	0	4736
2006	33	1	0	4230
2006	34	1	0	3776
2006	35	1	0	3291
2006	36	1	0	2900
2006	37	1	0	2667
2006	38	1	0	2428
2006	39	1	0	2283
2006	40	1	0	2070
2006	41	1	0	1873
2006	42	1	0	1700
2006	43	1	0	1497
2006	44	1	0	1361
2006	45	1	0	1215
2006	46	1	0	1136
2006	47	1	0	1057
2006	48	1	0	937
2006	49	1	0	896
2006	50	1	0	740
2006	51	1	0	638
2006	52	1	0	630
2006	53	1	0	564
2006	54	1	0	517
2006	55	1	0	470
2006	56	1	0	455
2006	57	1	0	489
2006	58	1	0	493
2006	59	1	0	505
2006	60	1	0	377
2006	61	1	0	287
2006	62	1	0	346
2006	63	1	0	390
2006	64	1	0	543
2006	65	1	0	609
2006	66	1	0	655
2006	67	1	0	724
2006	68	1	0	666
2006	69	1	0	652
2006	70	1	0	569
2006	71	1	0	564
2006	72	1	0	566
2006	73	1	0	479
2006	74	1	0	418
2006	75	1	0	330
2006	76	1	0	263
2006	77	1	0	252
2006	78	1	0	219
2006	79	1	0	171
2006	80	1	0	124
2006	81	1	0	88
2006	82	1	0	82
2006	83	1	0	54
2006	84	1	0	51
2006	85	1	0	136
2006	25	1	1	4821
2006	26	1	1	4458
2006	27	1	1	4160
2006	28	1	1	3810
2006	29	1	1	3613
2006	30	1	1	2971
2006	31	1	1	2593
2006	32	1	1	2522
2006	33	1	1	2204
2006	34	1	1	2020
2006	35	1	1	1548
2006	36	1	1	1313
2006	37	1	1	1382
2006	38	1	1	1147
2006	39	1	1	1080
2006	40	1	1	879
2006	41	1	1	806
2006	42	1	1	877
2006	43	1	1	673
2006	44	1	1	748
2006	45	1	1	605
2006	46	1	1	463
2006	47	1	1	544
2006	48	1	1	490
2006	49	1	1	564
2006	50	1	1	506
2006	51	1	1	392
2006	52	1	1	407
2006	53	1	1	434
2006	54	1	1	343
2006	55	1	1	196
2006	56	1	1	212
2006	57	1	1	312
2006	58	1	1	337
2006	59	1	1	312
2006	60	1	1	268
2006	61	1	1	277
2006	62	1	1	314
2006	63	1	1	292
2006	64	1	1	330
2006	65	1	1	293
2006	66	1	1	232
2006	67	1	1	233
