
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="drinkd1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.175***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.91)",=""

="drinkd2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.127***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.72)",=""

="drinkd3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0170",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.44)",=""

="drinkd4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",=""

="l2asthmae",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0764"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.85)"

="l2hlthlm",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0421"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.12)"

="_cons",="-4.591***",="-7.422***",="-4.146***",="-3.392***",="-4.971***",="-3.137**",="-2.147***",="0.262",="-6.811***",="-4.434***",="-12.81**",="1.799***",="-1.700***",="-1.656***",="3.944***",="-2.778***",="-10.07***"
="",="(-6.63)",="(-8.66)",="(-5.89)",="(-5.37)",="(-5.70)",="(-2.67)",="(-4.32)",="(0.36)",="(-7.67)",="(-3.83)",="(-2.59)",="(5.08)",="(-3.79)",="(-3.62)",="(10.13)",="(-8.40)",="(-22.62)"

="N",="16568",="13883",="12692",="8769",="18849",="14783",="12866",="18005",="18983",="13429",="13188",="17800",="20436",="3113",="19632",="17692",="16802"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
