,,,Total: NS-SeC,1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
,,Level 2 qualifications,"255,427","4,464","11,995","50,641","27,699","37,335","35,321","36,227","36,305","3,288","7,624","4,528"
,,Apprenticeship,"31,803",408,838,"3,645","1,732","8,177","7,501","3,408","4,975",188,649,282
,,Level 3 qualifications,"249,011","6,208","18,413","65,139","29,143","34,451","40,994","23,053","19,915","1,701","4,017","5,977"
,,Level 4 qualifications and above,"695,136","32,686","207,621","246,938","57,796","42,095","28,647","27,058","15,700","3,054","5,675","27,866"
,,Other qualifications,"141,311","1,659","7,075","17,484","6,604","25,517","18,909","22,840","29,066","4,138","2,788","5,231"
,Age 35 to 39,Total: Highest level of qualification,"1,765,582","64,272","255,574","429,598","121,541","245,971","175,871","166,058","195,569","42,338","40,532","28,258"
,,No Qualifications,"196,423","1,175","1,711","11,484","5,122","34,749","19,201","31,714","50,133","27,450","11,278","2,406"
,,Level 1 qualifications,"249,094","4,736","9,497","42,646","19,310","42,696","30,683","37,190","46,541","4,728","8,448","2,619"
,,Level 2 qualifications,"253,933","6,124","13,909","53,194","23,904","42,482","34,438","32,183","35,037","2,656","7,045","2,961"
,,Apprenticeship,"51,850","1,123","1,681","6,670","2,699","13,948","11,958","5,140","7,297",173,827,334
,,Level 3 qualifications,"220,756","7,311","17,999","57,453","21,344","36,280","35,502","19,041","17,484","1,415","3,673","3,254"
,,Level 4 qualifications and above,"665,799","41,884","204,688","242,072","43,491","49,803","26,833","21,193","13,786","2,252","6,071","13,726"
,,Other qualifications,"127,727","1,919","6,089","16,079","5,671","26,013","17,256","19,597","25,291","3,664","3,190","2,958"
,Age 40 to 44,Total: Highest level of qualification,"1,923,441","79,488","247,257","446,467","121,077","310,379","191,983","183,640","234,277","42,483","45,277","21,113"
,,No Qualifications,"248,281","1,883","2,289","15,322","6,026","48,890","23,301","39,610","65,366","29,911","13,294","2,389"
,,Level 1 qualifications,"353,127","8,456","14,237","61,023","26,134","67,884","42,802","50,449","65,474","4,067","9,879","2,722"
,,Level 2 qualifications,"291,977","8,773","17,677","63,119","26,323","52,912","37,449","34,273","39,130","2,239","7,544","2,538"
,,Apprenticeship,"76,086","2,155","2,842","10,584","3,562","23,097","15,834","6,606","9,708",183,"1,044",471
,,Level 3 qualifications,"214,752","8,826","18,543","56,905","19,168","38,791","31,222","17,365","16,774","1,062","3,667","2,429"
,,Level 4 qualifications and above,"622,115","47,407","187,003","225,056","34,628","53,142","25,673","18,170","13,683","1,975","6,643","8,735"
,,Other qualifications,"117,103","1,988","4,666","14,458","5,236","25,663","15,702","17,167","24,142","3,046","3,206","1,829"
,Age 45 to 49,Total: Highest level of qualification,"1,919,758","85,270","231,353","426,204","115,958","327,806","195,945","190,006","249,855","37,683","44,743","14,935"
,,No Qualifications,"285,252","2,408","2,359","17,803","6,913","59,080","26,780","46,614","79,256","28,326","13,787","1,926"
,,Level 1 qualifications,"339,941","8,196","11,611","56,404","24,606","68,391","40,393","50,192","65,819","2,991","9,219","2,119"
,,Level 2 qualifications,"264,843","8,548","14,867","55,170","23,709","50,533","33,167","31,985","37,018","1,585","6,392","1,869"
,,Apprenticeship,"117,484","3,950","4,934","17,382","6,164","32,300","25,069","11,023","14,349",156,"1,601",556
,,Level 3 qualifications,"215,454","9,637","18,550","55,805","19,014","40,091","31,589","17,473","17,003",833,"3,736","1,723"
,,Level 4 qualifications and above,"591,800","50,631","175,502","211,036","31,263","54,207","24,655","16,968","13,345","1,445","7,205","5,543"
,,Other qualifications,"104,984","1,900","3,530","12,604","4,289","23,204","14,292","15,751","23,065","2,347","2,803","1,199"
,Age 50 to 54,Total: Highest level of qualification,"1,687,729","72,535","201,127","357,013","102,922","292,097","176,268","175,232","233,841","26,937","41,038","8,719"
,,No Qualifications,"306,362","2,777","2,739","19,528","8,597","62,790","30,430","53,666","89,850","20,895","13,606","1,484"
,,Level 1 qualifications,"238,759","5,907","9,283","40,571","19,880","47,580","27,087","35,257","43,997","1,603","6,518","1,076"
,,Level 2 qualifications,"203,793","6,394","12,082","41,528","19,105","38,819","24,722","25,217","28,847",855,"5,279",945
,,Apprenticeship,"140,219","4,306","5,439","19,254","7,862","35,413","30,497","14,767","19,750",144,"2,347",440
,,Level 3 qualifications,"191,884","8,898","16,686","46,645","16,909","35,876","29,369","16,148","16,172",544,"3,662",975
,,Level 4 qualifications and above,"508,055","42,513","152,120","178,001","26,231","50,230","20,403","15,150","12,124","1,057","7,099","3,127"
,,Other qualifications,"98,657","1,740","2,778","11,486","4,338","21,389","13,760","15,027","23,101","1,839","2,527",672
,Age 55 to 59,Total: Highest level of qualification,"1,481,745","59,026","177,142","302,766","93,111","256,843","152,792","160,344","216,880","19,854","38,408","4,579"
,,No Qualifications,"335,887","3,449","3,331","23,018","10,926","68,940","33,291","60,744","101,530","15,867","13,760","1,031"
,,Level 1 qualifications,"148,079","4,179","7,080","27,998","15,308","28,786","14,542","20,636","24,027",884,"4,179",460
,,Level 2 qualifications,"154,003","4,905","9,396","30,484","15,389","29,383","17,692","19,636","21,805",507,"4,348",458
,,Apprenticeship,"147,396","4,289","5,659","18,937","8,944","35,124","32,684","16,881","21,564",137,"2,892",285
,,Level 3 qualifications,"157,502","6,871","13,485","36,563","14,508","29,303","24,641","13,798","14,032",342,"3,490",469
,,Level 4 qualifications and above,"441,950","33,611","135,538","154,234","23,188","44,987","15,967","13,941","11,114",792,"7,071","1,507"
,,Other qualifications,"96,928","1,722","2,653","11,532","4,848","20,320","13,975","14,708","22,808","1,325","2,668",369
,Age 60 to 64,Total: Highest level of qualification,"1,557,140","60,548","177,828","308,759","96,926","279,080","160,253","174,877","251,133","19,227","25,459","3,050"
,,No Qualifications,"445,598","5,551","5,045","34,503","17,583","91,967","47,041","81,875","137,212","15,546","8,341",934
,,Level 1 qualifications,"127,619","4,384","7,196","27,056","14,628","24,469","11,002","16,361","19,259",689,"2,300",275
,,Level 2 qualifications,"131,575","4,819","8,787","27,633","13,780","24,980","14,113","16,000","18,366",425,"2,372",300
,,Apprenticeship,"171,218","4,872","5,987","21,770","9,136","43,328","36,617","19,212","27,013",189,"2,854",240
,,Level 3 qualifications,"139,845","6,478","12,242","32,302","12,378","26,344","21,292","12,384","13,379",334,"2,477",235
,,Level 4 qualifications and above,"434,440","32,164","135,509","151,011","23,162","45,606","14,411","13,897","11,634",818,"5,390",838
,,Other qualifications,"106,845","2,280","3,062","14,484","6,259","22,386","15,777","15,148","24,270","1,226","1,725",228
,Age 65 to 69,Total: Highest level of qualification,"1,217,965","48,240","132,141","231,362","72,133","220,316","140,981","140,506","208,021","18,082","3,964","2,219"
,,No Qualifications,"442,229","6,046","5,493","37,235","19,186","89,187","54,257","79,553","134,912","14,463","1,109",788
,,Level 1 qualifications,"85,481","3,561","5,179","20,654","10,235","16,558","7,607","9,820","10,745",621,309,192
,,Level 2 qualifications,"84,115","3,841","6,271","20,790","9,249","16,057","8,707","8,740","9,487",410,291,272
,,Apprenticeship,"141,823","4,373","4,918","18,675","6,910","34,260","33,783","15,894","22,192",320,347,151
,,Level 3 qualifications,"87,356","4,919","8,519","21,605","7,416","16,188","13,730","6,912","7,190",288,367,222
,,Level 4 qualifications and above,"294,510","23,390","98,982","100,111","14,075","30,260","9,652","8,521","7,054",775,"1,229",461
,,Other qualifications,"82,451","2,110","2,779","12,292","5,062","17,806","13,245","11,066","16,441","1,205",312,133
,Age 70 to 74,Total: Highest level of qualification,"967,953","35,812","98,320","175,130","56,485","163,015","129,897","116,736","170,907","18,571","1,542","1,538"
,,No Qualifications,"413,899","5,592","5,230","35,212","19,408","74,142","59,266","76,448","122,738","14,797",444,622
,,Level 1 qualifications,"56,287","2,470","3,423","14,663","7,234","10,284","5,584","6,020","5,881",519,108,101
