| This is a comment (do not remove!)
male	age_elsa	year
1	53	1987	1.227663341538196
1	54	1987	1.2275192229866452
1	55	1987	1.227434390326083
1	56	1987	1.2274069495948359
1	57	1987	1.22735825388861
1	58	1987	1.2273103842308242
1	59	1987	1.2272668073246333
1	60	1987	1.2272020663430034
1	61	1987	1.2271505968374226
1	62	1987	1.2271044387485253
1	63	1987	1.2270456730316113
1	64	1987	1.2269796053896296
1	65	1987	1.2269130998702984
1	66	1987	1.226844548609546
1	67	1987	1.2267758802914834
1	68	1987	1.2266807100470112
1	69	1987	1.2265804495606245
1	70	1987	1.2264802291265096
1	71	1987	1.2263594856783193
1	72	1987	1.226230376533119
1	73	1987	1.2260718240784685
1	74	1987	1.2259078582574574
1	75	1987	1.2257188805806027
1	76	1987	1.2254982016742817
1	77	1987	1.2252621824428171
1	78	1987	1.2249997440334188
1	79	1987	1.2247082793109836
1	80	1987	1.2243739189290817
1	81	1987	1.2239888026237284
1	82	1987	1.2235450135132866
1	83	1987	1.2230324500750784
1	84	1987	1.2224538447558877
1	85	1987	1.2218010810965338
1	86	1987	1.2210721445228878
1	87	1987	1.220271952413079
1	88	1987	1.219382651359977
1	89	1987	1.2183966571489113
1	90	1987	1.217301201722957
1	91	1987	1.2038898382943073
1	92	1987	1.1905903779655285
1	93	1987	1.1774170170902851
1	94	1987	1.164397434097886
1	95	1987	1.1515618630159898
1	96	1987	1.1389398126388783
1	97	1987	1.1264224350702774
1	98	1987	1.1141056098341224
1	99	1987	1.1020357860488592
1	100	1987	1.090308124928575
1	50	1988	1.21214109098249
1	51	1988	1.212685131756107
1	52	1988	1.2128457142857143
1	53	1988	1.2128514056224902
1	54	1988	1.2127478753541077
1	55	1988	1.2127213507543708
1	56	1988	1.2127111660486196
1	57	1988	1.2126505268439538
1	58	1988	1.212598200257106
1	59	1988	1.2125758641348232
1	60	1988	1.2125176380551503
1	61	1988	1.2124609082500108
1	62	1988	1.2124171040318972
1	63	1988	1.212361689694822
1	64	1988	1.2123171562887751
1	65	1988	1.2122568093385215
1	66	1988	1.212181307372185
1	67	1988	1.2121182622239528
1	68	1988	1.21203791712693
1	69	1988	1.2119424903479477
1	70	1988	1.2118549010639572
1	71	1988	1.211733088227948
1	72	1988	1.2116092384405337
1	73	1988	1.211467206221534
1	74	1988	1.2113184965230959
1	75	1988	1.2111419617330108
1	76	1988	1.210943295081252
1	77	1988	1.2107234879305668
1	78	1988	1.2104813195589184
1	79	1988	1.210210224115577
1	80	1988	1.20990114729304
1	81	1988	1.209541785651298
1	82	1988	1.2091353175202697
1	83	1988	1.2086611459279306
1	84	1988	1.2081262093368825
1	85	1988	1.207521458741802
1	86	1988	1.206848170611157
1	87	1988	1.2061080017864099
1	88	1988	1.20528611578009
1	89	1988	1.2043746103081405
1	90	1988	1.203361980935925
1	91	1988	1.1908812650840421
1	92	1988	1.1784969745748122
1	93	1988	1.1662212768887092
1	94	1988	1.1540802173514808
1	95	1988	1.142102530688474
1	96	1988	1.1303155167195316
1	97	1988	1.1186190688571156
1	98	1988	1.1071011240454767
1	99	1988	1.0958062815820286
1	100	1988	1.0848238121912335
1	50	1989	1.1978604228692538
1	51	1989	1.1982111944604732
1	52	1989	1.198262857142857
1	53	1989	1.1982553871399577
1	54	1989	1.1982193443949818
1	55	1989	1.1981954999812812
1	56	1989	1.1981870622167283
1	57	1989	1.1981309583542399
1	58	1989	1.1980859877160406
1	59	1989	1.1980412075746918
1	60	1989	1.1980006218161816
1	61	1989	1.1979474078315642
1	62	1989	1.1979128524350056
1	63	1989	1.1978662042185821
1	64	1989	1.1978119921008021
1	65	1989	1.1977626459143969
1	66	1989	1.1976983518877422
1	67	1989	1.1976414307170273
1	68	1989	1.1975621034243584
1	69	1989	1.1974703332622754
1	70	1989	1.1973929236499068
1	71	1989	1.1972865235331143
1	72	1989	1.1971707504178122
1	73	1989	1.1970374441086105
1	74	1989	1.1969033587346796
1	75	1989	1.1967437321310754
1	76	1989	1.1965504559706284
1	77	1989	1.1963543079287589
1	78	1989	1.1961318330278798
1	79	1989	1.1958834969438785
1	80	1989	1.195595497731318
1	81	1989	1.1952673823881483
1	82	1989	1.1948901311040607
1	83	1989	1.1944546846854946
1	84	1989	1.193961600547342
1	85	1989	1.1934062164241863
1	86	1989	1.1927857602948961
1	87	1989	1.1921036877963493
1	88	1989	1.1913460949568222
1	89	1989	1.190506534627504
1	90	1989	1.1895744962975012
1	91	1989	1.1780059788740105
1	92	1989	1.1665176598953289
1	93	1989	1.155124277336213
1	94	1989	1.1438470609413647
1	95	1989	1.1327135823719412
1	96	1989	1.121749663493126
1	97	1989	1.1108617098665465
1	98	1989	1.100133348398794
1	99	1989	1.0896050068615137
1	100	1989	1.079360481999037
1	50	1990	1.183680678205581
1	51	1990	1.1838815156760916
1	52	1990	1.1838628571428573
1	53	1990	1.1839184695772338
1	54	1990	1.1838526912181302
1	55	1990	1.183819400247089
1	56	1990	1.183834638099162
1	57	1990	1.183768188660311
1	58	1990	1.1837451792601057
1	59	1990	1.1837149331874657
1	60	1990	1.1836749336330807
1	61	1990	1.1836321191032024
1	62	1990	1.1835916839578504
1	63	1990	1.1835403668168367
1	64	1990	1.1834815889271422
1	65	1990	1.1834468223086902
1	66	1990	1.1833956821562175
1	67	1990	1.1833314791121987
1	68	1990	1.1832532689392967
1	69	1990	1.183175821312679
1	70	1990	1.1831051869275921
1	71	1990	1.1830098008851768
1	72	1990	1.1829057799614608
1	73	1990	1.182782537739698
1	74	1990	1.1826548699380368
1	75	1990	1.1825104464482077
1	76	1990	1.182338384436535
1	77	1990	1.1821489919537111
1	78	1990	1.1819461651086833
1	79	1990	1.1817188368216336
1	80	1990	1.1814569702439146
1	81	1990	1.181154335418457
1	82	1990	1.180812811602961
1	83	1990	1.1804130663477705
1	84	1990	1.1799600183872658
1	85	1990	1.1794505895049303
1	86	1990	1.1788806619005405
1	87	1990	1.1782552095705965
1	88	1990	1.1775625888901744
1	89	1990	1.1767924301070023
1	90	1990	1.1759373808153564
1	91	1990	1.165261599539208
1	92	1990	1.1546534710971805
1	93	1990	1.1441251125552812
1	94	1990	1.1336963788234566
1	95	1990	1.1233936243235991
1	96	1990	1.1132404074009368
1	97	1990	1.1031514406214546
1	98	1990	1.0932027596491654
1	99	1990	1.0834328045663089
1	100	1990	1.0739192584169044
1	50	1991	1.1696523187162537
1	51	1991	1.169696095402962
1	52	1991	1.1696914285714286
1	53	1991	1.1697111024744138
1	54	1991	1.169647915823553
1	55	1991	1.169667927071244
1	56	1991	1.1696538936959209
1	57	1991	1.1695935775213246
1	58	1991	1.1695472075417797
1	59	1991	1.1695449454299185
1	60	1991	1.1694927414918805
1	61	1991	1.1694489715015637
1	62	1991	1.1694332560315717
1	63	1991	1.1693841774895855
1	64	1991	1.1693434228692263
1	65	1991	1.1692931258106356
1	66	1991	1.169243250552125
1	67	1991	1.1691884074094676
1	68	1991	1.1691242582269377
1	69	1991	1.1690589544991592
1	70	1991	1.1689808008537794
1	71	1991	1.1688929295754948
1	72	1991	1.168805194567987
1	73	1991	1.1686941606507963
1	74	1991	1.168580605087339
1	75	1991	1.1684421046844073
1	76	1991	1.16828214702014
1	77	1991	1.1681188409727872
1	78	1991	1.167929435132949
1	79	1991	1.167725504723097
1	80	1991	1.1674855648308307
1	81	1991	1.1672101496861058
1	82	1991	1.1668966443403668
1	83	1991	1.1665302966273141
1	84	1991	1.166118790288958
1	85	1991	1.1656521956646553
1	86	1991	1.165135001264873
1	87	1991	1.1645644675453017
1	88	1991	1.1639304938380821
1	89	1991	1.163229247812771
1	90	1991	1.1624479005048303
1	91	1991	1.1526469370171322
1	92	1991	1.1429012966700616
1	93	1991	1.1332219707908853
1	94	1991	1.1236281709977567
1	95	1991	1.1141433534148442
1	96	1991	1.1047889788154466
1	97	1991	1.0954877198603978
1	98	1991	1.0863093577965905
1	99	1991	1.0772892533569172
1	100	1991	1.0684997667565295
1	50	1992	1.1556744209517082
1	51	1992	1.1557030198115021
1	52	1992	1.155657142857143
1	53	1992	1.1556764693181327
1	54	1992	1.1556454876568192
1	55	1992	1.1556287671745722
1	56	1992	1.1556448290070045
1	57	1992	1.1555757651781235
1	58	1992	1.1555492072561062
1	59	1992	1.1555312443020498
1	60	1992	1.1555018774065482
1	61	1992	1.15546403559001
1	62	1992	1.15543756865617
1	63	1992	1.1553976362368288
1	64	1992	1.1553450656227608
1	65	1992	1.1553177691309988
1	66	1992	1.155271104700951
1	67	1992	1.1552261222673417
1	68	1992	1.1551622267320885
1	69	1992	1.1550960468035718
1	70	1992	1.1550306554717025
1	71	1992	1.1549558910213502
1	72	1992	1.1548689942373902
1	73	1992	1.154763986377905
1	74	1992	1.1546654142742434
1	75	1992	1.154545579502969
1	76	1992	1.1544004438155673
1	77	1992	1.1542469035349425
1	78	1992	1.1540765237690567
1	79	1992	1.1538896091868864
1	80	1992	1.15367292538835
1	81	1992	1.153423567775272
1	82	1992	1.153141629316278
1	83	1992	1.1528093726678474
1	84	1992	1.1524352436847227
1	85	1992	1.1520134172227396
1	86	1992	1.1515424008775454
1	87	1992	1.1510257604120147
1	88	1992	1.1504515110479003
1	89	1992	1.1498154632778783
1	90	1992	1.1491074223582531
1	91	1992	1.1401619913077836
1	92	1992	1.1312621737840736
1	93	1992	1.12241575792054
1	94	1992	1.113641644442224
1	95	1992	1.104961375902884
1	96	1992	1.0963941473641732
1	97	1992	1.0878700063219338
1	98	1992	1.0794521893308886
1	99	1992	1.071173931893841
1	100	1992	1.0631016323296059
1	50	1993	1.1418479083615078
1	51	1993	1.1418542027312946
1	52	1993	1.1418057142857143
1	53	1993	1.1418577535950254
