
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.79)",="(-2.43)",="(-3.02)",="",="(-2.90)"

="l2itearn",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00000442**",="",="-0.00000444*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(2.68)",="",="(-2.28)"

="l2ipubpen",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00000797",="",="0.00000274"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-1.03)",="",="(0.42)"

="l2atotf",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.000000185*",="",="0.000000106"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.20)",="",="(1.38)"

="l2arthre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0769*",="",="-0.000928"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-2.13)",="",="(-0.03)"

="l2parkine",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.236",="",="-0.211"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.72)",="",="(-0.87)"

="hearte",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.351***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(11.54)",=""

="stroke",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.474***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(7.72)",=""

="cancre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.226***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.48)",=""

="hibpe",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.145***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.94)",=""

="diabe",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.235***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.61)",=""

="lunge",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.428***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(8.54)",=""

="logbmi",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.330***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.97)",=""

="adl1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.542***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(14.18)",=""

="adl2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.763***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(11.50)",=""

="adl3p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.104***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(11.74)",=""

="iadl1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.754***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(20.38)",=""

="iadl2p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.175***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(20.34)",=""

="smokev",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.110***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.23)",=""

="smoken",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.219***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(4.31)",=""

="smokef",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.000902",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.28)",=""

="arthre",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.468***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(18.80)",=""

="psyche",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.489***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(12.30)",=""

="asthmae",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.235***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.79)",=""

="parkine",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.098***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(5.75)",=""

="drink",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.193***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-4.55)",=""

="drinkd1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.217***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(6.01)",=""

="drinkd2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.128***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(3.77)",=""

="drinkd3",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0272",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.70)",=""

="drinkd4",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",=""

="l2asthmae",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.0232"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.48)"

="l2hlthlm",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.0100"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(-0.24)"

="_cons",="-4.642***",="-8.008***",="-2.732***",="-3.644***",="-3.846***",="-3.941**",="-3.259***",="-0.344",="-3.787***",="-3.796***",="-8.793*",="2.062***",="-1.835***",="-2.219***",="3.868***",="-3.134***",="-9.256***"
="",="(-6.66)",="(-8.35)",="(-3.42)",="(-5.61)",="(-4.86)",="(-3.18)",="(-6.95)",="(-0.48)",="(-9.54)",="(-3.41)",="(-2.51)",="(6.00)",="(-4.62)",="(-5.62)",="(10.35)",="(-9.61)",="(-19.38)"

="N",="16155",="10557",="9706",="6905",="17759",="10906",="12692",="17135",="27113",="10021",="11201",="16573",="20841",="3916",="18360",="17361",="12687"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
